Event&Year|Track|Car|Parameter|Event|Scored Time in s|Scored EnergyConsumption in kWh|Scores|
FSA 2015|Acceleration|FSG15e2D|10750|Acceleration|3.425000|-|55|
FSA 2015|Efficiency_FSA15_Curvature|FSG15e2D|10750|Efficiency|24.797929|6.753530|92|
Overall Points|-|-|10750|-|-|-|492|
FSA 2015|Endurance_FSA15_Curvature|FSG15e2D|10750|Endurance|24.797929|-|224|
FSA 2015|AutoX_FSA15_Curvature|FSG15e2D|10750|AutoX|0.994510|-|71|
FSA 2015|Skidpad|FSG15e2D|10750|Skidpad|5.291134|-|48|
FSA 2015|Acceleration|FSG15e2D|10750|Acceleration|3.425000|-|55|
FSA 2015|Efficiency_FSA15_Curvature|FSG15e2D|10750|Efficiency|24.797929|6.753530|92|
Overall Points|-|-|10750|-|-|-|492|
FSA 2015|Endurance_FSA15_Curvature|FSG15e2D|10750|Endurance|24.797929|-|224|
FSA 2015|AutoX_FSA15_Curvature|FSG15e2D|10750|AutoX|0.994510|-|71|
FSA 2015|Skidpad|FSG15e2D|10750|Skidpad|5.291134|-|48|
FSA 2015|Acceleration|FSG15e2D|10750|Acceleration|3.425000|-|55|
FSA 2015|Efficiency_FSA15_Curvature|FSG15e2D|10750|Efficiency|24.797929|6.753530|92|
Overall Points|-|-|10750|-|-|-|492|
FSA 2015|Endurance_FSA15_Curvature|FSG15e2D|11000|Endurance|24.711597|-|228|
FSA 2015|AutoX_FSA15_Curvature|FSG15e2D|11000|AutoX|0.990749|-|72|
FSA 2015|Skidpad|FSG15e2D|11000|Skidpad|5.266581|-|49|
FSA 2015|Acceleration|FSG15e2D|11000|Acceleration|3.425000|-|55|
FSA 2015|Efficiency_FSA15_Curvature|FSG15e2D|11000|Efficiency|24.711597|6.796948|92|
Overall Points|-|-|11000|-|-|-|499|
FSA 2015|Endurance_FSA15_Curvature|FSG15e2D|11000|Endurance|24.711597|-|228|
FSA 2015|AutoX_FSA15_Curvature|FSG15e2D|11000|AutoX|0.990749|-|72|
FSA 2015|Skidpad|FSG15e2D|11000|Skidpad|5.266581|-|49|
FSA 2015|Acceleration|FSG15e2D|11000|Acceleration|3.425000|-|55|
FSA 2015|Efficiency_FSA15_Curvature|FSG15e2D|11000|Efficiency|24.711597|6.796948|92|
Overall Points|-|-|11000|-|-|-|499|
FSA 2015|Endurance_FSA15_Curvature|FSG15e2D|11000|Endurance|24.711597|-|228|
FSA 2015|AutoX_FSA15_Curvature|FSG15e2D|11000|AutoX|0.990749|-|72|
FSA 2015|Skidpad|FSG15e2D|11000|Skidpad|5.266581|-|49|
FSA 2015|Acceleration|FSG15e2D|11000|Acceleration|3.425000|-|55|
FSA 2015|Efficiency_FSA15_Curvature|FSG15e2D|11000|Efficiency|24.711597|6.796948|92|
Overall Points|-|-|11000|-|-|-|499|
FSA 2015|Endurance_FSA15_Curvature|FSG15e2D|11250|Endurance|24.626572|-|232|
FSA 2015|AutoX_FSA15_Curvature|FSG15e2D|11250|AutoX|0.987040|-|74|
